'attribute_set_name','attribute_group_name','attribute_code'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','8_stellige_mitegronummer'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','anteil'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','artikelklasse_id'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','bild_dateiname_energielabel_oh'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','documents'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','eancode'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','einheit_auf_die_sich_der_preis'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','ekme'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','ekpreis'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','etim'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','html_attr_table'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','istbestand'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','menge'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','min_qua'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','mtz'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','packmenge'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','preisme'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','t123_sales_price_excl_vat'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','teg_auslaufartikel'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','teg_ek_per_piece_or_meter_excl'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','country_of_manufacture'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','teg_kabel'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','teg_preisbasis'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','teg_prodnumber'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','teg_vk_per_piece_or_meter_excl'
'Gebäudetechnik_19 " Schränke','Allg.Produkt-Daten','zolltarifnummer'
'Gebäudetechnik_19 " Schränke','Spezifikationen','anzahl_der_hoeheneinheiten_he'
'Gebäudetechnik_19 " Schränke','Spezifikationen','art_der_lueftung'
'Gebäudetechnik_19 " Schränke','Spezifikationen','ausfuehrung'
'Gebäudetechnik_19 " Schränke','Spezifikationen','ausfuehrung_der_oberflaeche'
'Gebäudetechnik_19 " Schränke','Spezifikationen','breite'
'Gebäudetechnik_19 " Schränke','Spezifikationen','farbe'
'Gebäudetechnik_19 " Schränke','Spezifikationen','hoehe'
'Gebäudetechnik_19 " Schränke','Spezifikationen','mit_sockel'
'Gebäudetechnik_19 " Schränke','Spezifikationen','ral_nummer'
'Gebäudetechnik_19 " Schränke','Spezifikationen','rastermass'
'Gebäudetechnik_19 " Schränke','Spezifikationen','schutzart_ip'
'Gebäudetechnik_19 " Schränke','Spezifikationen','tiefe'
'Gebäudetechnik_19 " Schränke','Spezifikationen','werkstoff'
